,Unnamed: 0,<TICKER>,<PER>,Date,Time,<OPEN>,<HIGH>,<LOW>,Close/Last,<VOL>,Pct_Change,SMA10,SMA20,SMA50,SMA100,SMA200,SMA500,EMA8,EMA20,EMA50,EMA200,Denoised_Close,ema_pct_change
1132,1132,SPY,60,240823,100000,559.8,563.09,558.35,560.51,922215,0.1268310110753905,558.6845000000001,559.0335,555.1990000000001,542.3799,545.39715,541.5023299999999,558.605038137954,558.3195013064811,554.1530855988769,546.2403047801214,559.904940667203,0.09752966943765706
1133,1133,SPY,60,240823,110000,560.5,562.49,559.53,559.99,331085,-0.090990187332737,558.613,559.132,555.5516,542.8156,545.38965,541.58073,558.9128074406309,558.4785964201496,554.3819842028425,546.3771176678814,560.1542483722363,0.05509604848943361
1134,1134,SPY,60,240823,120000,560.11,560.13,557.3,559.31,318003,-0.1428290871436089,558.313,559.184,555.8438,543.2049000000001,545.3709,541.6574899999999,559.001072453824,558.5577777134687,554.5752397242998,546.5058030642209,560.4052688917257,0.015792268850889357
1135,1135,SPY,60,240823,130000,559.3,561.0,558.985,560.39,188227,0.1948864652243933,558.309,559.2485,556.1896999999999,543.6197,545.3566999999999,541.73661,559.3097230196408,558.7322750740907,554.8032695390331,546.6439542775123,560.6564459611537,0.055214664340796915
1136,1136,SPY,60,240823,140000,560.37,561.18,560.25,560.77,233502,0.0713814087120968,558.6110000000001,559.356,556.5395,544.0369999999999,545.3453,541.81479,559.6342290152762,558.9263441146535,555.0372589688749,546.7845119463929,560.906120590729,0.058019015632959636
1137,1137,SPY,60,240823,150000,560.74,562.66,560.21,562.08,847270,0.2389699325890843,559.0609999999999,559.4424999999999,556.8961,544.5006,545.3380000000001,541.89645,560.1777336785482,559.2266922942104,555.3134448916641,546.936705857374,561.152544476904,0.097117837882843
1138,1138,SPY,60,240826,90000,563.18,563.89,562.7,563.0,369782,-0.031961362264276,559.809,559.6285,557.2809000000001,544.9562000000001,545.337,541.98037,560.8049039722041,559.586054932857,555.6148784253243,547.0965396299375,561.3938941966722,0.11195916152137997
1139,1139,SPY,60,240826,100000,563.02,563.16,560.19,561.17,368079,-0.328585130190761,560.318,559.7425,557.5009,545.3496,545.3202,542.0607100000001,560.8860364228254,559.7369068440134,555.8327263302135,547.2365740614805,561.6282860800197,0.0144671435728716
1140,1140,SPY,60,240826,110000,561.1,561.32,559.79,560.02,160319,-0.1924790589912744,560.699,559.73525,557.6831,545.6958,545.29605,542.13939,560.6935838844198,559.7638680969645,555.9969331407934,547.3637723295255,561.853791650898,-0.034312235625089116
1141,1141,SPY,60,240826,120000,559.98,561.65,559.75,561.55,133428,0.2803671559698447,560.879,559.79375,557.8819,546.0522,545.3044,542.2206699999999,560.883898576771,559.9339758972536,556.2147004686054,547.5049288237592,562.0684535228567,0.033942726976232684
1142,1142,SPY,60,240826,130000,561.49,561.7,559.2,559.5,155701,-0.3544141480703145,560.778,559.73125,558.0332999999999,546.371,545.31065,542.2978499999999,560.5763655597108,559.89264485942,556.3435357443464,547.6242827658114,562.2703016320604,-0.05483006694265713
1143,1143,SPY,60,240826,140000,559.49,560.9,559.06,560.83,170320,0.2395038338486892,560.862,559.7375,558.1969,546.7,545.3227499999999,542.3769299999999,560.6327287686639,559.9819167775705,556.5194755190779,547.7556829372959,562.4573696878499,0.010054510396084737
1144,1144,SPY,60,240826,150000,560.78,560.89,559.85,560.77,757623,-0.0017832305003728,561.008,559.6605,558.3539,547.0329999999999,545.3367499999999,542.4549300000001,560.6632334867386,560.0569723225638,556.6861627536239,547.8851786294621,562.6277117192627,0.005441123307536877
1145,1145,SPY,60,240827,90000,559.5,560.21,558.33,559.82,248377,0.0571939231456747,560.951,559.63,558.4883,547.4091,545.34925,542.53241,560.4758482674633,560.0344035299387,556.8090583319132,548.00393307096,562.7794185951086,-0.033422063028798465
1146,1146,SPY,60,240827,100000,559.85,561.7,559.6,561.61,329925,0.3143699205144218,561.0350000000001,559.823,558.6751,547.7150999999999,545.3699,542.6136700000001,560.7278819858049,560.1844603366112,556.9973305541911,548.1393168214977,562.9106343951905,0.04496781067742095
1147,1147,SPY,60,240827,110000,561.63,562.04,559.83,560.68,229207,-0.1691505083417989,560.895,559.978,558.8461,548.0175999999999,545.38835,542.69249,560.7172415445149,560.2316545902672,557.1417489638307,548.2640997386967,563.0195725111823,-0.0018976123056901884
1148,1148,SPY,60,240827,120000,560.63,561.17,559.87,560.81,120201,0.0321067370636516,560.676,560.2425,558.9949,548.3457,545.3982,542.76757,560.7378545346227,560.2867351054799,557.2856019456412,548.3889345671674,563.1045313574285,0.0036761826782916174
1149,1149,SPY,60,240827,130000,560.87,562.01,560.78,561.94,140265,0.190775045910826,560.7529999999999,560.5355,559.1389,548.7146,545.4236999999999,542.84489,561.0049979713732,560.4441889049581,557.4681273595377,548.5237710391359,563.1639095745704,0.047641412933008276
1150,1150,SPY,60,240827,140000,561.92,562.05,561.36,561.59,185912,-0.0587272209567068,560.9100000000001,560.8045,559.2797,549.1097,545.46685,542.91677,561.1349984221791,560.5533137711526,557.6297694238696,548.6537832676022,563.1962206123584,0.023172779436198
1151,1151,SPY,60,240827,150000,561.61,561.85,561.14,561.53,701482,-0.0142447605989994,560.908,560.8935,559.4185,549.5305999999999,545.5029999999999,542.98551,561.2227765505837,560.6463315072333,557.7827196425413,548.7819048271285,563.2001065822986,0.015642960900930092
1152,1152,SPY,60,240828,90000,561.19,561.63,560.615,561.08,129700,-0.0196012045831204,561.066,560.922,559.5554999999999,549.9551,545.54015,543.05187,561.1910484282317,560.6876332684492,557.9120247545985,548.9042739333263,563.174351275853,-0.005653391786231143
1153,1153,SPY,60,240828,100000,561.05,561.3,559.47,559.64,217461,-0.2513144995989606,560.947,560.9045,559.6491000000001,550.3013000000001,545.5763499999999,543.11405,560.8463709997358,560.587858671454,557.9797884897123,549.0110970782683,563.1178922497119,-0.061418910629695844
1154,1154,SPY,60,240828,110000,559.62,559.65,557.72,558.46,376194,-0.2072835138129388,560.716,560.8620000000001,559.688,550.6039,545.6052500000001,543.1730499999999,560.3160663331279,560.3852054646488,557.9986203136451,549.1051160128129,563.0298318862148,-0.09455435463772144
