,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,PriceChange
250,SPY,60,240223,100000,509.8,509.93,508.43,508.73,544064,-0.20988622989407477
251,SPY,60,240223,110000,508.72,508.78,507.1,508.51,695252,-0.04128007548357375
252,SPY,60,240223,120000,508.505,508.99,507.79,508.62,558663,0.022615313517076352
253,SPY,60,240223,130000,508.625,509.05,508.33,508.53,404793,-0.01867780781519337
254,SPY,60,240223,140000,508.55,508.6,507.63,508.34,419994,-0.041293874741920436
255,SPY,60,240223,150000,508.33,508.75,507.72,507.81,1360774,-0.1022957527590309
256,SPY,60,240226,90000,508.3,508.74,507.73,508.22,310908,-0.01573873696635532
257,SPY,60,240226,100000,508.22,508.51,507.425,507.495,472190,-0.14265475581441556
258,SPY,60,240226,110000,507.52,507.88,507.02,507.72,409022,0.03940731399748689
259,SPY,60,240226,120000,507.71,507.9,507.15,507.31,276230,-0.07878513324535213
260,SPY,60,240226,130000,507.29,507.59,506.02,506.885,514946,-0.07983599124761567
261,SPY,60,240226,140000,506.875,507.4,506.52,506.74,524858,-0.02663378545005986
262,SPY,60,240226,150000,506.77,507.31,505.86,506.01,1292241,-0.1499694141326422
263,SPY,60,240227,90000,506.69,506.74,505.53,506.07,363457,-0.12236278592433333
264,SPY,60,240227,100000,506.1,506.58,505.6,506.13,480914,0.005927682276224603
265,SPY,60,240227,110000,506.14,506.16,505.47,505.9,313272,-0.047417710514879106
266,SPY,60,240227,120000,505.92,506.0,504.99,505.05,393951,-0.1719639468690711
267,SPY,60,240227,130000,505.05,505.89,504.77,505.72,363400,0.13266013266013582
268,SPY,60,240227,140000,505.79,506.7,505.75,506.66,388620,0.17200814567310635
269,SPY,60,240227,150000,506.67,507.155,506.23,506.9,1145668,0.04539443819447793
270,SPY,60,240228,90000,505.48,505.8,504.96,505.3,193442,-0.035609717496242546
271,SPY,60,240228,100000,505.33,506.52,505.25,506.48,460140,0.22757406051491783
272,SPY,60,240228,110000,506.51,506.85,506.17,506.58,389948,0.013820062782569581
273,SPY,60,240228,120000,506.57,506.67,505.45,505.87,385936,-0.13818425883885518
274,SPY,60,240228,130000,505.86,506.78,505.5,506.61,353751,0.14826236508124777
