<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
QQQ,60,240606,130000,462.97,463.94,462.97,463.49,128934
QQQ,60,240606,140000,463.52,463.64,462.19,463.41,160268
QQQ,60,240606,150000,463.36,463.6,462.78,463.37,300742
QQQ,60,240607,90000,463,463.54,461.88,462.71,105318
QQQ,60,240607,100000,462.82,464.82,462.53,463.83,160338
QQQ,60,240607,110000,463.86,464.14,462.4,464.065,165509
QQQ,60,240607,120000,464.04,465.505,463.74,465.43,159795
QQQ,60,240607,130000,465.44,465.74,464.78,464.8,100899
QQQ,60,240607,140000,464.76,464.76,461.965,463.29,208331
QQQ,60,240607,150000,463.26,463.6,462.03,462.97,365736
QQQ,60,240610,90000,461.82,462.66,461.53,461.92,85444
QQQ,60,240610,100000,461.86,463.75,461.82,463.67,177853
QQQ,60,240610,110000,463.75,464.8,463.61,464.22,151785
QQQ,60,240610,120000,464.14,464.97,464.08,464.63,98360
QQQ,60,240610,130000,464.63,464.89,463.38,464.49,123550
QQQ,60,240610,140000,464.52,464.62,462.88,463.94,184054
QQQ,60,240610,150000,463.86,465.17,463.85,464.85,299773
QQQ,60,240611,90000,463.48,464.3,462.03,462.95,210818
QQQ,60,240611,100000,462.88,465.43,462.82,465.43,270500
QQQ,60,240611,110000,465.45,465.47,463.75,464.13,182460
QQQ,60,240611,120000,464.1,464.86,464.01,464.54,55469
QQQ,60,240611,130000,464.57,466.18,464.32,466.14,134478
QQQ,60,240611,140000,466.13,467.75,465.87,467.24,194297
QQQ,60,240611,150000,467.25,468.13,466.7,468.04,225381
QQQ,60,240612,90000,471.99,474.44,471.3,474.13,194658
QQQ,60,240612,100000,474.21,475.43,473.85,474.38,315298
QQQ,60,240612,110000,474.38,475.23,474.31,474.71,159641
QQQ,60,240612,120000,474.63,474.91,474.18,474.57,94793
QQQ,60,240612,130000,474.55,475.21,474.2,474.72,91970
QQQ,60,240612,140000,474.68,475.3,473.21,474.78,300105
QQQ,60,240612,150000,474.75,476.5,472.74,474.16,436806
QQQ,60,240613,90000,477.72,478.37,477.21,477.61,221453
QQQ,60,240613,100000,477.61,478.06,475.26,475.86,182861
QQQ,60,240613,110000,475.75,477.04,475.54,476.55,78235
QQQ,60,240613,120000,476.525,476.525,474.44,475.41,133664
QQQ,60,240613,130000,475.47,476.48,475.35,476.08,88471
QQQ,60,240613,140000,476.06,476.97,475.65,476.84,105740
QQQ,60,240613,150000,476.78,477.64,476.51,476.71,301360
