<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPY,60,240315,100000,509.83,511.68,508.87,511.09,814931
SPY,60,240315,110000,511.1,511.18,509.54,509.73,624500
SPY,60,240315,120000,509.7,509.88,508.36,508.46,792147
SPY,60,240315,130000,508.47,509.95,508.43,509.9,649449
SPY,60,240315,140000,509.92,510.54,509.18,510.18,719419
SPY,60,240315,150000,510.19,510.53,509.22,509.74,1944219
SPY,60,240318,90000,514,514.83,513.76,513.84,822844
SPY,60,240318,100000,513.84,515.47,513.82,515.13,752234
SPY,60,240318,110000,515.16,515.22,513.91,514.23,573696
SPY,60,240318,120000,514.22,514.51,513.48,513.51,516345
SPY,60,240318,130000,513.52,514.24,513.32,513.8,549601
SPY,60,240318,140000,513.81,514.4,513.21,513.8,553209
SPY,60,240318,150000,513.74,514.14,512.44,512.87,1890089
SPY,60,240319,90000,512.15,512.16,511.13,511.69,473367
SPY,60,240319,100000,511.69,512.61,511.23,512.23,707375
SPY,60,240319,110000,512.24,513.43,512.17,513.18,428559
SPY,60,240319,120000,513.18,515.13,513.01,514.66,631541
SPY,60,240319,130000,514.68,515.44,514.37,514.99,494394
SPY,60,240319,140000,514.99,515.35,514.51,514.89,521664
SPY,60,240319,150000,514.87,515.99,514.235,515.76,1277832
SPY,60,240320,90000,515.77,515.98,515.21,515.43,324524
SPY,60,240320,100000,515.43,516.44,515.35,515.86,368499
SPY,60,240320,110000,515.89,516.32,515.58,515.93,290388
SPY,60,240320,120000,515.91,516.15,515.41,516.14,260615
SPY,60,240320,130000,516.14,516.14,515.08,515.47,322997
SPY,60,240320,140000,515.52,519.55,515.52,518.91,1218319
SPY,60,240320,150000,519.05,520.6,518.88,520.42,1522379
SPY,60,240321,90000,523.39,524.01,522.77,523.43,567840
SPY,60,240321,100000,523.4,523.98,523.16,523.55,813197
SPY,60,240321,110000,523.59,523.93,523.03,523.76,493876
SPY,60,240321,120000,523.75,524.11,523.44,523.74,450906
SPY,60,240321,130000,523.75,523.76,522.73,522.82,423059
SPY,60,240321,140000,522.75,523.11,522.03,522.315,691332
SPY,60,240321,150000,522.32,523.16,521.91,522.13,1019052
SPY,60,240322,90000,522.11,522.44,521.42,521.75,332806
SPY,60,240322,100000,521.78,522.3,521.03,521.06,538794
SPY,60,240322,110000,521.06,521.83,521.04,521.68,451944
SPY,60,240322,120000,521.68,521.87,520.97,521.85,466408
SPY,60,240322,130000,521.83,522.58,521.76,522.54,490784
SPY,60,240322,140000,522.53,522.59,521.95,522.18,398516
SPY,60,240322,150000,522.165,522.35,521.13,521.27,1683145
SPY,60,240325,90000,519.79,520.39,519.63,520.3,400517
SPY,60,240325,100000,520.26,520.89,520.06,520.62,487163
SPY,60,240325,110000,520.65,520.855,520.38,520.6,390213
SPY,60,240325,120000,520.59,520.69,520.25,520.43,325110
SPY,60,240325,130000,520.45,520.7,520.14,520.66,334171
SPY,60,240325,140000,520.67,520.95,520.56,520.81,205145
SPY,60,240325,150000,520.82,520.82,519.67,519.81,1208070
SPY,60,240326,90000,521.23,521.44,520.84,521.24,285686
SPY,60,240326,100000,521.25,521.57,520.67,521.28,478644
SPY,60,240326,110000,521.32,521.455,521.08,521.385,253278
SPY,60,240326,120000,521.395,521.46,520.75,520.88,309500
SPY,60,240326,130000,520.88,521.01,520.49,520.65,245521
SPY,60,240326,140000,520.66,521.04,520.65,520.85,246800
SPY,60,240326,150000,520.86,520.91,518.4,518.67,1844153
SPY,60,240327,90000,521.71,521.77,520.75,520.89,470645
SPY,60,240327,100000,520.9,520.94,519.64,519.86,836127
SPY,60,240327,110000,519.85,520.155,519.53,519.54,425799
SPY,60,240327,120000,519.555,520.47,519.49,520.29,338992
SPY,60,240327,130000,520.31,520.48,519.74,520.18,266682
SPY,60,240327,140000,520.18,520.97,520.02,520.27,408157
SPY,60,240327,150000,520.28,523.2,519.84,523.17,2425691
SPY,60,240328,90000,523.21,523.67,522.79,523.22,304377
SPY,60,240328,100000,523.32,523.72,522.93,523.43,488595
SPY,60,240328,110000,523.42,523.73,523.16,523.59,390273
SPY,60,240328,120000,523.59,523.59,523.09,523.35,557023
SPY,60,240328,130000,523.32,523.48,522.93,523.38,461828
SPY,60,240328,140000,523.37,524.28,523.02,524.15,818695
SPY,60,240328,150000,524.14,524.61,522.93,523.13,2229260
SPY,60,240401,90000,523.83,524.38,523.46,524.08,344320
SPY,60,240401,100000,524.06,524.16,522.09,522.33,556041
SPY,60,240401,110000,522.33,522.41,521.08,521.1,435843
SPY,60,240401,120000,521.1,522.22,520.98,521.9,269997
SPY,60,240401,130000,521.91,521.91,521.06,521.74,215098
SPY,60,240401,140000,521.73,522.14,521.48,521.85,230857
SPY,60,240401,150000,521.85,522.755,521.62,522.23,753110
SPY,60,240402,90000,518.24,518.46,516.87,517.6,636806
SPY,60,240402,100000,517.64,517.99,516.5,516.96,816166
SPY,60,240402,110000,516.96,517.85,516.86,517.13,400853
SPY,60,240402,120000,517.12,517.99,516.905,517.97,365340
