,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,PriceChange
1530,ETHUSDT,60,240304,180000,3543.64,3597.0,3529.8,3596.41,45948.9035,1.489146753056179
1531,ETHUSDT,60,240304,190000,3596.41,3610.0,3581.52,3593.01,33923.9878,-0.09453872055743467
1532,ETHUSDT,60,240304,200000,3593.0,3595.99,3573.4,3583.37,23112.3325,-0.26802115224047063
1533,ETHUSDT,60,240304,210000,3583.38,3593.23,3558.3,3580.4,20094.1304,-0.08316170766148212
1534,ETHUSDT,60,240304,220000,3580.41,3609.79,3564.31,3608.48,21438.4133,0.783988425906535
1535,ETHUSDT,60,240304,230000,3608.49,3640.94,3606.53,3627.76,34172.5679,0.5340183844211966
1536,ETHUSDT,60,240305,0,3627.75,3635.81,3607.24,3618.94,30449.7764,-0.24285025153331805
1537,ETHUSDT,60,240305,10000,3618.94,3655.27,3614.71,3642.72,30049.0692,0.6570984874023815
1538,ETHUSDT,60,240305,20000,3642.72,3643.38,3607.28,3623.1,23062.6615,-0.5386085123204608
1539,ETHUSDT,60,240305,30000,3623.09,3697.2,3612.62,3689.81,32050.9823,1.8415220157379417
1540,ETHUSDT,60,240305,40000,3689.81,3740.0,3672.06,3695.65,71354.0667,0.1582737322518001
1541,ETHUSDT,60,240305,50000,3695.65,3734.21,3641.5,3715.8,87710.1527,0.5452356148444817
1542,ETHUSDT,60,240305,60000,3715.8,3727.25,3698.4,3712.25,25350.1719,-0.0955379729802514
1543,ETHUSDT,60,240305,70000,3712.26,3722.06,3670.81,3672.98,30238.8645,-1.0581155414760874
1544,ETHUSDT,60,240305,80000,3672.99,3700.0,3651.87,3692.61,33317.611,0.5341697091470531
1545,ETHUSDT,60,240305,90000,3692.6,3701.65,3674.0,3688.67,18698.1377,-0.10642907436494169
1546,ETHUSDT,60,240305,100000,3688.68,3725.03,3688.16,3710.5,20333.3931,0.5915395209126344
1547,ETHUSDT,60,240305,110000,3710.5,3742.0,3710.0,3731.45,24208.7197,0.5646139334321472
1548,ETHUSDT,60,240305,120000,3731.46,3769.0,3730.8,3759.01,45733.9222,0.7383169054472025
1549,ETHUSDT,60,240305,130000,3759.0,3782.03,3751.57,3779.41,37179.7834,0.5429635541367346
1550,ETHUSDT,60,240305,140000,3779.4,3806.3,3745.95,3803.95,57543.2736,0.649574006456044
1551,ETHUSDT,60,240305,150000,3803.95,3822.04,3753.46,3783.01,91846.1568,-0.5504804216669409
1552,ETHUSDT,60,240305,160000,3783.0,3796.07,3664.0,3688.07,115174.6274,-2.50938408670367
1553,ETHUSDT,60,240305,170000,3688.06,3688.64,3556.46,3686.51,99730.306,-0.042027515821318716
1554,ETHUSDT,60,240305,180000,3686.51,3686.52,3590.85,3611.88,47136.7529,-2.0244079088351885
1555,ETHUSDT,60,240305,190000,3611.88,3626.52,3200.0,3376.46,159403.1988,-6.51793525809274
1556,ETHUSDT,60,240305,200000,3376.46,3464.88,3324.68,3387.8,142627.0398,0.3358547117395185
1557,ETHUSDT,60,240305,210000,3387.81,3529.61,3385.21,3520.05,91867.0088,3.903406625519148
1558,ETHUSDT,60,240305,220000,3520.05,3527.44,3434.97,3506.51,43540.4554,-0.3846536270791598
1559,ETHUSDT,60,240305,230000,3506.51,3580.6,3494.6,3553.65,34298.7322,1.344356639507655
1560,ETHUSDT,60,240306,0,3553.66,3591.23,3545.4,3562.6,34749.3863,0.2515716191194446
1561,ETHUSDT,60,240306,10000,3562.6,3583.65,3515.0,3519.02,30506.5016,-1.223263908381517
1562,ETHUSDT,60,240306,20000,3519.01,3548.93,3499.4,3502.79,27129.3112,-0.46092508972694746
1563,ETHUSDT,60,240306,30000,3502.8,3551.6,3500.01,3538.01,23435.5812,1.0051958433253407
1564,ETHUSDT,60,240306,40000,3538.01,3653.38,3536.2,3649.28,43237.5617,3.144988284374549
1565,ETHUSDT,60,240306,50000,3649.28,3770.63,3647.0,3769.44,95810.0525,3.2927043142756887
1566,ETHUSDT,60,240306,60000,3769.44,3789.0,3747.67,3748.48,55196.9153,-0.5560507661615528
1567,ETHUSDT,60,240306,70000,3748.49,3789.77,3740.83,3786.6,36493.3187,1.0166760482220876
1568,ETHUSDT,60,240306,80000,3786.61,3868.07,3778.6,3825.38,77653.1595,1.0238709558153594
1569,ETHUSDT,60,240306,90000,3825.38,3867.27,3788.04,3792.23,41179.4745,-0.8665805750017016
1570,ETHUSDT,60,240306,100000,3792.23,3842.6,3791.8,3839.8,35942.1788,1.2544070375478322
1571,ETHUSDT,60,240306,110000,3839.8,3899.47,3835.49,3879.74,46277.0628,1.04015834158028
1572,ETHUSDT,60,240306,120000,3879.74,3900.0,3755.0,3817.41,68729.1301,-1.606550954445399
1573,ETHUSDT,60,240306,130000,3817.42,3845.58,3771.88,3830.77,48306.4603,0.3497126331396574
1574,ETHUSDT,60,240306,140000,3830.78,3863.18,3768.93,3781.95,66592.1385,-1.2746751314353832
1575,ETHUSDT,60,240306,150000,3781.96,3808.7,3724.0,3790.94,50412.0675,0.2374430189637124
1576,ETHUSDT,60,240306,160000,3790.95,3822.92,3764.25,3816.01,34889.7408,0.6610480222635593
1577,ETHUSDT,60,240306,170000,3816.01,3850.62,3789.72,3847.05,26886.817,0.8134150591848543
1578,ETHUSDT,60,240306,180000,3847.06,3862.5,3828.39,3862.12,26092.6305,0.39146777019334106
1579,ETHUSDT,60,240306,190000,3862.11,3880.0,3836.34,3852.59,19136.6005,-0.24649738096532678
1580,ETHUSDT,60,240306,200000,3852.59,3892.58,3844.61,3858.05,23243.6888,0.1417228409978751
1581,ETHUSDT,60,240306,210000,3858.05,3861.97,3832.83,3845.55,17121.9059,-0.3239978745739428
1582,ETHUSDT,60,240306,220000,3845.54,3845.88,3805.03,3813.42,14629.6013,-0.835253306427703
1583,ETHUSDT,60,240306,230000,3813.43,3832.53,3792.7,3818.59,25843.4247,0.1353112552216852
1584,ETHUSDT,60,240307,0,3818.58,3852.69,3795.6,3838.0,32851.0354,0.5085660114492841
1585,ETHUSDT,60,240307,10000,3838.0,3838.01,3774.82,3830.99,29160.0499,-0.1826472120896357
1586,ETHUSDT,60,240307,20000,3830.99,3831.4,3777.25,3784.76,20616.4923,-1.206737683992899
1587,ETHUSDT,60,240307,30000,3784.76,3805.4,3764.21,3775.18,18994.2721,-0.25312040922014556
1588,ETHUSDT,60,240307,40000,3775.18,3799.98,3761.2,3780.07,15031.0223,0.12953024756436324
1589,ETHUSDT,60,240307,50000,3780.08,3803.36,3742.51,3753.97,21124.8072,-0.6907261221984754
1590,ETHUSDT,60,240307,60000,3753.98,3780.95,3735.0,3771.67,18223.6426,0.4712331978327017
1591,ETHUSDT,60,240307,70000,3771.67,3800.99,3756.0,3789.22,17473.0038,0.46531112212891707
1592,ETHUSDT,60,240307,80000,3789.23,3814.85,3784.25,3791.54,18098.7367,0.06096225354491402
1593,ETHUSDT,60,240307,90000,3791.53,3800.84,3774.08,3784.21,17427.028,-0.1930619037697226
1594,ETHUSDT,60,240307,100000,3784.21,3801.7,3773.09,3794.21,14180.0398,0.2642559477407438
1595,ETHUSDT,60,240307,110000,3794.21,3814.92,3770.36,3787.58,23642.4952,-0.17473993268691265
