,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,PriceChange
110,QQQ,60,240124,140000,428.02,428.08,426.05,426.77,320134,-0.2920424279239288
111,QQQ,60,240124,150000,426.65,427.23,425.34,425.85,607394,-0.18750732450485283
112,QQQ,60,240125,90000,428.37,428.43,426.85,427.06,386386,-0.30581039755351735
113,QQQ,60,240125,100000,427.1,428.7,426.59,427.99,411585,0.20838211191758052
114,QQQ,60,240125,110000,427.99,429.04,427.45,428.35,274567,0.08411411481576991
115,QQQ,60,240125,120000,428.43,428.56,426.19,426.65,406476,-0.415470438578071
116,QQQ,60,240125,130000,426.635,427.35,424.69,424.83,352615,-0.4230782753407496
117,QQQ,60,240125,140000,424.83,425.62,424.03,425.62,390303,0.18595673563543547
118,QQQ,60,240125,150000,425.56,426.32,425.16,426.29,472159,0.17153867844722676
119,QQQ,60,240126,90000,424.44,424.73,423.49,424.26,251622,-0.04240882103477684
120,QQQ,60,240126,100000,424.24,426.1,423.18,426.1,432934,0.4384310767490132
121,QQQ,60,240126,110000,426.11,426.15,424.93,425.7,276839,-0.09621928609983925
122,QQQ,60,240126,120000,425.7,426.2,423.45,423.8,378024,-0.4463237021376503
123,QQQ,60,240126,130000,423.73,424.24,423.15,423.54,282153,-0.04483987444835101
124,QQQ,60,240126,140000,423.55,424.84,423.42,424.58,279264,0.2431826230669278
125,QQQ,60,240126,150000,424.61,424.67,423.46,423.77,445539,-0.1978285956524886
126,QQQ,60,240129,90000,424.27,425.11,423.87,424.54,195824,0.06363872062602556
127,QQQ,60,240129,100000,424.54,424.8,423.76,423.85,384646,-0.16252885476044607
128,QQQ,60,240129,110000,423.84,425.08,423.62,425.06,264666,0.2878444696111805
129,QQQ,60,240129,120000,425.08,425.74,424.96,425.48,358757,0.09409993413005414
130,QQQ,60,240129,130000,425.51,425.62,425.03,425.24,191502,-0.06345326784328965
131,QQQ,60,240129,140000,425.25,426.34,425.13,426.16,288047,0.21399176954733098
132,QQQ,60,240129,150000,426.17,428.35,426.17,428.15,704068,0.46460332731068854
133,QQQ,60,240130,90000,427.09,427.67,426.96,427.3,222878,0.04916996417617747
134,QQQ,60,240130,100000,427.3,427.35,426.06,426.59,354134,-0.1661596068336149
135,QQQ,60,240130,110000,426.57,426.96,426.3,426.51,159372,-0.014065686757156451
136,QQQ,60,240130,120000,426.6,426.78,424.76,425.0,276414,-0.3750586029067095
137,QQQ,60,240130,130000,424.96,425.68,424.57,424.92,226687,-0.009412650602401079
138,QQQ,60,240130,140000,424.92,425.65,424.39,425.42,162695,0.1176692083215664
139,QQQ,60,240130,150000,425.37,425.82,425.06,425.2,410441,-0.03996520676117637
140,QQQ,60,240131,90000,420.85,421.51,419.65,420.17,379241,-0.16157775929666315
141,QQQ,60,240131,100000,420.16,420.47,418.07,418.5,447298,-0.39508758568165103
142,QQQ,60,240131,110000,418.6,419.68,418.57,419.45,260359,0.20305781175345575
143,QQQ,60,240131,120000,419.48,420.18,419.27,420.16,227972,0.16210546390769687
144,QQQ,60,240131,130000,420.185,420.945,420.06,420.51,186683,0.07734688292061559
145,QQQ,60,240131,140000,420.57,422.86,418.7,420.36,810115,-0.049932234824162335
146,QQQ,60,240131,150000,420.4,420.51,416.79,416.88,1418680,-0.8372978116079881
147,QQQ,60,240201,90000,418.79,419.56,418.34,418.66,330738,-0.031041810931492025
148,QQQ,60,240201,100000,418.72,420.38,417.88,418.05,579145,-0.1600114635078372
149,QQQ,60,240201,110000,418.035,419.49,417.82,419.23,339740,0.2858612317150461
150,QQQ,60,240201,120000,419.29,421.38,419.24,420.69,417626,0.33389777957976036
