status_code,error,page_rank_integer,page_rank_decimal,rank,domain,website
200,,5,5.44,25555,washingtonblade.com,www.washingtonblade.com
200,,5,4.98,143500,wfhb.org,wfhb.org
200,,5,5.09,90500,heraldpalladium.com,www.heraldpalladium.com
200,,5,4.92,216954,virginislandsnewsonline.com,www.virginislandsnewsonline.com
200,,3,2.51,21119405,wkjc.com,wkjc.com
200,,5,4.84,483572,ftvlive.com,www.ftvlive.com
200,,5,4.81,533498,kcby.com,kcby.com
200,,3,3.16,8474421,wrbbradio.org,wrbbradio.org
200,,3,3.35,5163260,sewardindependent.com,www.sewardindependent.com
200,,5,5.3,41781,portuguese-american-journal.com,portuguese-american-journal.com
200,,5,4.92,194708,wcbe.org,www.wcbe.org
200,,5,4.84,476787,buckeyeswire.usatoday.com,buckeyeswire.usatoday.com
200,,4,3.78,3051901,mitchelladvocate.com,www.mitchelladvocate.com
200,,6,6.23,5446,msnbc.com,www.msnbc.com
200,,5,5.16,71181,friendsjournal.org,www.friendsjournal.org
200,,5,4.98,146181,indiablooms.com,www.indiablooms.com
200,,5,4.79,611429,simivalleyacorn.com,www.simivalleyacorn.com
200,,5,5.07,95767,radiomilwaukee.org,radiomilwaukee.org
200,,5,4.93,186217,cnynews.com,cnynews.com
200,,5,4.96,156897,starherald.com,starherald.com
200,,6,5.77,10822,campaignlive.co.uk,www.campaignlive.co.uk
200,,4,3.97,1923671,coloradobuffaloeswire.usatoday.com,coloradobuffaloeswire.usatoday.com
200,,5,5.34,35517,frontpageafricaonline.com,frontpageafricaonline.com
200,,4,4.07,1779129,knoxpages.com,www.knoxpages.com
200,,5,5.02,121732,uk.investing.com,uk.investing.com
200,,6,5.59,16268,alleywatch.com,www.alleywatch.com
200,,5,4.84,488734,chippewa.com,chippewa.com
200,,5,4.97,148550,thehardtackle.com,thehardtackle.com
200,,4,4.33,1444502,thevermilion.com,www.thevermilion.com
200,,5,4.82,516647,gatorcountry.com,www.gatorcountry.com
200,,5,5.18,67654,weau.com,www.weau.com
200,,3,2.58,18726238,961thefox.iheart.com,961thefox.iheart.com
200,,5,4.81,543141,beachconnection.net,www.beachconnection.net
