<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPY,60,240605,130000,532.65,533.29,532.15,533.24,231515
SPY,60,240605,140000,533.25,533.99,533.03,533.85,254275
SPY,60,240605,150000,533.8,534.69,533.24,534.65,870356
SPY,60,240606,090000,534.98,535.41,534.36,534.36,357954
SPY,60,240606,100000,534.38,535.19,534.38,534.45,271276
SPY,60,240606,110000,534.42,534.78,534.08,534.14,142976
SPY,60,240606,120000,534.15,534.25,533.25,533.46,207673
SPY,60,240606,130000,533.31,534.45,533.3,534.17,128947
SPY,60,240606,140000,534.12,534.56,532.68,534.41,271985
SPY,60,240606,150000,534.33,534.67,534,534.63,563373
SPY,60,240607,090000,533.66,534.3,532.55,534.06,319969
SPY,60,240607,100000,534,536.39,533.88,535.31,384917
SPY,60,240607,110000,535.29,535.41,533.96,535.16,211061
SPY,60,240607,120000,535.21,536.38,534.86,536.36,157437
SPY,60,240607,130000,536.33,536.89,535.78,535.88,151175
SPY,60,240607,140000,535.88,535.88,533.5,535.1,308954
SPY,60,240607,150000,535.09,535.4,533.72,534,807583
SPY,60,240610,090000,533.18,533.27,532.58,533.09,267510
SPY,60,240610,100000,533.12,533.89,533.04,533.76,187948
SPY,60,240610,110000,533.75,535.04,533.73,534.61,234681
SPY,60,240610,120000,534.63,535.14,534.56,534.83,179108
SPY,60,240610,130000,534.86,535.72,534.23,535.29,292602
SPY,60,240610,140000,535.31,535.57,534.29,535.01,276352
SPY,60,240610,150000,534.9,535.99,534.71,535.66,1388631
SPY,60,240611,090000,534.09,534.1,532.05,532.76,263231
SPY,60,240611,100000,532.77,534.71,532.6,534.65,210473
SPY,60,240611,110000,534.69,534.76,533.68,533.84,221833
SPY,60,240611,120000,533.83,534.26,533.56,534.07,106098
SPY,60,240611,130000,534.12,535.24,533.72,535.2,178557
SPY,60,240611,140000,535.19,536.62,534.96,536.2,334095
SPY,60,240611,150000,536.21,537.01,535.63,536.97,913351
SPY,60,240612,090000,541.63,542.96,541.22,542.63,489256
SPY,60,240612,100000,542.68,543.96,542.55,543.06,433076
SPY,60,240612,110000,543.04,543.39,542.56,542.95,235490
SPY,60,240612,120000,542.97,543.1,542.43,542.79,177667
SPY,60,240612,130000,542.82,543.37,542.18,542.56,233089
SPY,60,240612,140000,542.52,543.08,540.81,542.56,582176
SPY,60,240612,150000,542.48,544.12,540.36,541.34,1280982
SPY,60,240613,090000,543.15,543.175,541.75,542,316319
SPY,60,240613,100000,542.01,542.26,540.435,540.59,359980
SPY,60,240613,110000,540.49,541.64,540.27,541.21,194515
SPY,60,240613,120000,541.08,541.15,539.63,540.74,203929
SPY,60,240613,130000,540.7,541.95,540.59,541.65,151553
SPY,60,240613,140000,541.68,542.57,541.26,542.49,286934
SPY,60,240613,150000,542.48,543.32,542.19,542.34,857740
SPY,60,240614,090000,540.88,541.62,540.69,541.54,191253
SPY,60,240614,100000,541.4,541.4,539.86,541.24,281525
SPY,60,240614,110000,541.18,541.78,540.29,541.41,239452
SPY,60,240614,120000,541.42,541.91,540.95,541.77,162287
SPY,60,240614,130000,541.81,542.41,541.55,541.78,196695
SPY,60,240614,140000,541.77,542.31,541.19,542.09,215778
SPY,60,240614,150000,542.06,542.8,541.9,542.73,683119
SPY,60,240617,090000,542.08,542.45,541.61,542.1,151573
SPY,60,240617,100000,542.1,542.99,541.9,542.91,241783
SPY,60,240617,110000,542.95,544.03,542.95,543.7,239297
SPY,60,240617,120000,543.68,545.89,543.68,545.395,318894
SPY,60,240617,130000,545.45,547.53,545.45,547.4,339159
SPY,60,240617,140000,547.4,548.42,547.33,547.79,446701
SPY,60,240617,150000,547.76,548.38,546.74,547.05,999064
SPY,60,240618,090000,547.16,548.21,547.13,547.53,179860
SPY,60,240618,100000,547.54,547.94,546.98,547.11,162763
SPY,60,240618,110000,547.12,547.81,546.73,547.81,169291
SPY,60,240618,120000,547.79,548.07,547.25,547.85,133886
SPY,60,240618,130000,547.84,548.62,547.49,548.12,186566
SPY,60,240618,140000,548.11,548.14,547.1,548.02,325527
SPY,60,240618,150000,548.01,548.5,547.42,548.48,847745
SPY,60,240620,090000,549.44,550.1,548.81,549.59,179677
SPY,60,240620,100000,549.6,549.82,548.405,549.2,343818
SPY,60,240620,110000,549.23,549.53,548.32,548.36,210994
SPY,60,240620,120000,548.34,548.65,546,547.27,523480
SPY,60,240620,130000,547.27,547.27,545.2,547.01,412096
SPY,60,240620,140000,547.03,548.19,546.95,547.18,937647
SPY,60,240620,150000,547.18,547.75,545.77,546.99,1355279
SPY,60,240621,090000,544.44,544.86,543.03,543.85,352867
SPY,60,240621,100000,543.865,544.87,543.82,544.82,214726
SPY,60,240621,110000,544.78,545.51,544.02,545.51,243812
SPY,60,240621,120000,545.55,545.64,544.46,544.57,167251
SPY,60,240621,130000,544.52,544.81,543.56,543.95,219814
SPY,60,240621,140000,543.94,544.75,543.78,544.27,292121
SPY,60,240621,150000,544.3,545.22,544.08,544.13,1377018
SPY,60,240624,090000,544.33,545.8,543.79,545.61,261092
SPY,60,240624,100000,545.63,546.93,544.69,545.96,326745
SPY,60,240624,110000,546.05,546.34,545.54,546.17,180860
SPY,60,240624,120000,546.13,546.22,544.87,545.1,144034
SPY,60,240624,130000,545.05,545.25,543.61,543.96,310059
SPY,60,240624,140000,543.98,544.61,543.46,544.22,447968
SPY,60,240624,150000,544.13,544.65,542.63,542.63,1218464
SPY,60,240625,090000,543.99,544.04,543.04,543.11,262223
SPY,60,240625,100000,543.12,544.26,543.12,543.685,179959
SPY,60,240625,110000,543.67,544.47,543.54,544.3,206829
SPY,60,240625,120000,544.34,544.35,542.54,542.97,156740
SPY,60,240625,130000,542.84,544.15,542.44,543.96,164064
SPY,60,240625,140000,543.99,544.85,543.83,544.43,277970
SPY,60,240625,150000,544.42,545.19,544.17,544.79,761717
SPY,60,240626,090000,543.66,544.385,543.2,544.05,197938
SPY,60,240626,100000,544.07,544.78,543.64,544.21,344974
