Date,Close/Last,Volume,Open,High,Low,Pct_Change
2017-05-10,239.87,54209350,239.39,239.87,239.15,0.18
2017-05-11,239.38,62232520,239.35,239.57,238.13,-0.2
2017-05-12,238.98,53812970,239.09,239.4273,238.67,-0.17
2017-05-15,240.3,61242740,239.47,240.44,239.45,0.55
2017-05-16,240.08,50523840,240.64,240.67,239.63,-0.09
2017-05-17,235.82,171445400,238.1,238.64,235.75,-1.77
2017-05-18,236.77,106885400,235.73,237.75,235.43,0.4
2017-05-19,238.31,114380500,237.33,239.08,237.27,0.65
2017-05-22,239.52,60274380,238.9,239.71,238.82,0.51
2017-05-23,240.05,48239370,239.95,240.24,239.51,0.22
2017-05-24,240.61,48761320,240.32,240.73,239.93,0.23
2017-05-25,241.76,63952460,241.2,242.08,240.96,0.48
2017-05-26,241.71,46547760,241.54,241.9,241.45,-0.02
2017-05-30,241.5,35144010,241.34,241.79,241.16,-0.09
2017-05-31,241.44,90456540,241.84,241.88,240.64,-0.02
2017-06-01,243.36,68657470,241.97,243.38,241.64,0.8
2017-06-02,244.17,88562440,243.42,244.35,243.08,0.33
2017-06-05,243.99,44657990,243.97,244.3,243.76,-0.07
2017-06-06,243.21,50250970,243.34,243.98,243.12,-0.32
2017-06-07,243.66,53896140,243.6,243.92,242.83,0.19
2017-06-08,243.78,65450200,243.77,244.33,243.17,0.05
2017-06-09,243.41,132130500,244.09,245.01,241.95,-0.15
2017-06-12,243.36,85851610,243.13,243.42,242.38,-0.02
2017-06-13,244.55,59719680,243.98,244.61,243.5799,0.49
2017-06-14,244.24,78152710,244.86,244.87,243.29,-0.13
2017-06-15,243.77,66366470,242.68,243.91,242.36,-0.19
2017-06-16,242.64,83932400,242.77,242.83,241.6337,-0.46
2017-06-19,244.66,64836890,243.59,244.73,243.48,0.83
2017-06-20,243.01,56516390,244.25,244.26,242.99,-0.67
2017-06-21,242.95,55784180,243.42,243.59,242.41,-0.02
2017-06-22,242.84,44068300,242.96,243.53,242.64,-0.05
2017-06-23,243.13,66839890,242.91,243.51,242.47,0.12
2017-06-26,243.29,56556170,243.9,244.38,243.045,0.07
