,Date,Open,High,Low,Pct_Change,Close/Last,Volume
1618,2021-08-25,"3,121.36","3,127.16","3,103.60",0.0,3107.49,249.19M
1619,2021-08-26,"3,114.60","3,117.86","3,102.35",0.06,3109.42,225.23M
1620,2021-08-27,"3,089.91","3,094.75","3,074.70",-0.92,3080.77,246.30M
1621,2021-08-30,"3,092.00","3,108.41","3,092.00",0.69,3102.11,174.33M
1622,2021-08-31,"3,088.23","3,088.92","3,050.24",-1.52,3055.05,430.03M
1623,2021-09-01,"3,055.71","3,093.42","3,055.01",1.07,3087.84,235.34M
1624,2021-09-02,"3,093.46","3,096.71","3,076.97",0.03,3088.84,244.90M
1625,2021-09-03,"3,089.94","3,093.62","3,076.03",-0.16,3083.85,194.29M
1626,2021-09-06,"3,079.15","3,102.86","3,074.39",0.56,3101.08,156.98M
1627,2021-09-07,"3,093.89","3,108.53","3,084.41",0.24,3108.53,163.52M
1628,2021-09-08,"3,092.78","3,095.35","3,064.66",-1.27,3068.94,249.27M
1629,2021-09-09,"3,067.06","3,082.68","3,060.05",0.09,3071.7,256.06M
1630,2021-09-10,"3,085.62","3,105.09","3,076.02",0.88,3098.8,241.10M
1631,2021-09-13,"3,090.56","3,093.59","3,063.55",-0.79,3074.31,222.11M
1632,2021-09-14,"3,087.07","3,091.74","3,077.14",0.2,3080.37,182.32M
1633,2021-09-15,"3,068.46","3,071.22","3,052.78",-0.71,3058.61,175.78M
1634,2021-09-16,"3,065.22","3,072.05","3,061.53",0.19,3064.54,282.66M
1635,2021-09-17,"3,057.22","3,071.23","3,054.60",0.22,3071.23,476.02M
1636,2021-09-20,"3,071.39","3,075.46","3,038.15",-0.96,3041.73,308.99M
1637,2021-09-21,"3,039.96","3,069.56","3,038.04",0.71,3063.2,348.64M
1638,2021-09-22,"3,047.64","3,058.68","3,037.79",-0.49,3048.05,290.49M
1639,2021-09-23,"3,058.41","3,092.22","3,057.36",0.93,3076.44,324.75M
1640,2021-09-24,"3,089.32","3,089.78","3,057.84",-0.49,3061.35,330.95M
1641,2021-09-27,"3,072.53","3,106.55","3,069.32",1.27,3100.3,304.47M
1642,2021-09-28,"3,085.44","3,098.58","3,074.70",-0.73,3077.69,313.25M
1643,2021-09-29,"3,080.88","3,089.09","3,060.54",-0.11,3074.31,249.46M
1644,2021-09-30,"3,090.32","3,097.59","3,085.44",0.4,3086.7,265.03M
1645,2021-10-01,"3,072.54","3,076.88","3,044.73",-1.15,3051.11,240.84M
1646,2021-10-04,"3,079.99","3,102.47","3,079.62",1.26,3089.65,288.84M
1647,2021-10-05,"3,071.93","3,071.93","3,047.38",-0.7,3068.12,312.57M
